Company Name,Pitch Year,Industry Served (organized),State Headquartered,Princeton Connection? (Binary),Total Amount Currently Raising,Amount Already Closed of the Total Currently Raising,[Gender] Does anyone on your founding team identify as:,[Race/Ethnicity] Does anyone on your founding team identify as:,Has anyone on your founding team ever served on active duty?
Thousand Fell,2018,Retail,New York,Yes,600000,50000,,,
Wheeli Corporation,2018,Transportation,New York,No,1000000,400000,,,
MindHome Inc.,2018,Insurance,Colorado,Yes,1000000,250000,,,
Verstill,2018,Food & Drink,Israel,Yes,1000000,100000,,,
"Forte Nexus, Inc.",2018,Healthcare Technologies,New York,Yes,2000000,910000,,,
Sandstone Diagnostics,2018,Healthcare Technologies,California,Yes,5000000,1000000,,,
Loco Events Inc,2018,Other,California,Yes,75000,0,,,
Yombu Inc.,2018,Financial Services,Virginia,Yes,500000,150000,,,
ZED Network Inc.,2018,FinTech,"Ontario, Canada",Yes,5000000,0,,,
JOro,2018,Energy & CleanTech,Massachusetts,Yes,500000,200000,,,
"Twenty Nine Enterprises, Inc.",2018,Advertising Technology,New York,No,1500000,0,,,
PhysioCue,2018,Healthcare Technologies,California,Yes,5000000,3000000,,,
ExpressCells,2018,Biotechnology,Pennsylvania,Yes,500000,0,,,
"Buttonwood Merchants, LLC",2018,Financial Services,Connecticut,Yes,1200000,100000,,,
"Olden Street Machine Learning, Inc",2018,FinTech,New Jersey,Yes,600000,35000,,,
Kensho,2018,Healthcare Technologies,New York,Yes,700000,125000,,,
Pulse Telemedicine Technologies,2018,Healthcare Technologies,New York,Yes,2000000,100000,,,
"CoFare, Inc.",2018,eCommerce,New Jersey,Yes,250000,125000,,,
"Palmyra Exchange, Inc.",2018,Financial Services,New York,Yes,1300000,250000,,,
Yoga Vida LLC,2018,Health & Well-Being,New York,Yes,2400000,1400000,,,
Perkin & Perkin LLC,2018,Consumer Services,New York,No,2500000,1500000,,,
"Lithero, LLC",2018,Healthcare Technologies,Pennsylvania,Yes,500000,125000,,,
EPICA,2018,Artificial Intelligence,Florida,Yes,2500000,1250000,,,
Broker Buddha,2018,Insurance,New York,Yes,4000000,1587500,,,
OpenRefactory,2018,Information Security,California,Yes,400000,225000,,,
PopLearn Inc,2018,EdTech,California,Yes,500000,0,,,
Marketing As A Service Inc,2018,Advertising Technology,New York,Yes,600000,225000,,,
Spaceus LLC,2018,Art,Massachusetts,Yes,1500000,0,,,
Jumpstart Energy Inc.,2018,Energy & CleanTech,Washington,Yes,100000,0,,,
"Paladin PBC, Inc.",2018,Legal,New York,Yes,500000,250000,,,
Verity Blockchain Security,2018,FinTech,N/A,Yes,1000000,0,,,
Arimathea Media Capital Ltd.,2018,Media & Entertainment,New York,Yes,500000,0,,,
Occupassion,2018,Artificial Intelligence,California,No,300000,300000,,,
JULIETTE INC.,2018,Cleaning Services,New York,Yes,500000,0,,,
"Prokaryotics, Inc.",2018,Pharmaceutical,New Jersey,Yes,5036115,600000,,,
"YesPlz, Inc.",2018,Artificial Intelligence,California,Yes,1000000,20000,,,
"Meet-X, Inc",2018,Social Media,New York,No,600000,0,,,
Story2,2018,Education,New York,Yes,1000000,700000,,,
"Alpha Hat, Inc.",2018,FinTech,New York,Yes,2000000,250000,,,
SW Analytics LLC,2018,Sports,"Washington, D.C.",Yes,550000,0,,,
Invictis Technologies,2018,Healthcare Technologies,New Jersey,Yes,100000,0,,,
"Frequency, Inc.",2018,Advertising Technology,New York,No,1000000,0,,,
"Barwis Enterprises, Inc.",2018,Healthcare Technologies,New York,No,1500000,1100000,,,
"Skope, LLC",2018,Healthcare Technologies,Texas,Yes,1000000,0,,,
Status Money Inc.,2018,FinTech,New York,Yes,2000000,1000000,,,
Great Masters Art Authentication,2018,Art,California,Yes,2500000,0,,,
"JKE Media & News, Inc",2018,Social Media,New York,Yes,2500000,22500,,,
HoloSurg3D,2018,Healthcare Technologies,California,Yes,1500000,105000,,,
Swings,2018,Health & Well-Being,New York,Yes,1250000,0,,,
carbin,2018,Other,Massachusetts,No,500000,25000,,,
Kipit,2018,Consumer Services,New York,Yes,500000,100000,,,
"TMHS, Inc.",2018,Health & Well-Being,New York,Yes,500000,100000,,,
The St. Barts Spirit Company,2018,Food & Drink,California,Yes,750000,500000,,,
Inspirave LLC,2018,FinTech,New York,Yes,1000000,150000,,,
"Hue.Ai, LLC",2018,Healthcare Technologies,Virginia,Yes,1000000,500000,,,
Street Smarts VR,2018,GovTech,New York,Yes,1500000,300000,,,
Alpha.One,2018,Advertising Technology,Netherlands,Yes,930000,232500,,,
"Riveted Labs USA, Inc.",2018,EdTech,New York,Yes,1500000,730000,,,
"Equani, LLC",2018,Advertising Technology,New York,Yes,2355000,545000,,,
Condro Corp,2018,Consumer Services,Florida,Yes,3000000,0,,,
BoxPower Inc.,2018,Energy & CleanTech,California,Yes,750000,125000,,,
BioSapien Inc.,2018,Healthcare Technologies,New Jersey,Yes,600000,18000,,,
borderless co.,2018,FinTech,New York,Yes,600000,0,,,
Princeton Climate Analytics Inc.,2018,Energy & CleanTech,New Jersey,Yes,850000,0,,,
"Snakt, Inc.",2018,Media & Entertainment,New York,Yes,500000,225000,,,
DonorUP,2018,Other,New York,Yes,500000,225000,,,
"Tigerstone, Inc",2018,Information Technology,New Jersey,Yes,250000,225000,,,
"DDA, Inc.",2018,Healthcare Technologies,Washington,Yes,10000000,0,,,
Radvocate Inc.,2018,Legal,California,Yes,250000,50000,,,
MedicalTales,2018,Healthcare Technologies,New York,Yes,500000,300000,,,
Tendo Technologies,2018,Health & Beauty,New Jersey,Yes,250000,0,,,
Plong Inc,2018,eCommerce,California,Yes,100000,0,,,
Raptors Design,2018,Energy & CleanTech,New Hampshire,Yes,1500000,0,,,
Jomo Cuts,2018,Consumer Services,New York,Yes,500000,0,,,
Chiromics.LLC,2018,Biotechnology,New Jersey,Yes,0,0,,,
Clibsy LLC,2019,Media & Entertainment,New Jersey,No,500000,0,,,
"Leaping Harts, Inc.",2019,FinTech,Florida,No,500000,10000,,,
CHIMES NJ LLC,2019,Other,New Jersey,No,1000000,0,,,
Well Crafted Systems Inc,2019,SaaS Software,Massachusetts,Yes,750000,17000,,,
BrandVerge,2019,SaaS Software,New York,No,500000,50000,,,
Curie Co. Inc.,2019,Biotechnology,California,Yes,1000000,1070000,,,
Hempitecture Inc.,2019,Manufacturing,Idaho,Yes,250000,0,,,
SILK + SONDER,2019,Consumer Services,California,No,0,0,,,
"Forte Nexus, Inc.",2019,Healthcare Technologies,New York,No,2000000,1000000,,,
Tasit Labs,2019,FinTech,N/A,Yes,1000000,0,,,
Petra Power,2019,Automobile,Ohio,Yes,60000,0,,,
Traveler Surf Club,2019,Sports,California,Yes,750000,440000,,,
Open Data Nation,2019,Insurance,"Washington, D.C.",No,100000,100000,,,
PlaySVG,2019,Sports,New York,Yes,400000,30000,,,
Fluent BioSciences,2019,Healthcare Technologies,Massachusetts,Yes,1400000,350000,,,
ROYBI,2019,EdTech,California,Yes,500000,250000,,,
BMSEED,2019,Healthcare Technologies,Arizona,Yes,1000000,0,,,
Dittach LLC,2019,Computer Systems,New York,Yes,2000000,200000,,,
Weekender Classic Beer Co. LLC,2019,Consumer Services,New York,Yes,2000000,100000,,,
Ackerley Horner LLC,2019,Retail,Pennsylvania,No,1000000,500000,,,
"ExpressCells, Inc.",2019,Healthcare Technologies,Pennsylvania,Yes,500000,205000,,,
"RxThat, Inc.",2019,Healthcare Technologies,Colorado,Yes,2500000,1500000,,,
"Olden Street Machine Learning, Inc.",2019,FinTech,New Jersey,Yes,5000000,4000000,,,
"Bra Theory, Inc.",2019,Retail,New York,Yes,500000,100000,,,
"Revelio Labs, Inc",2019,FinTech,New York,No,350000,168000,,,
"Radius8, Inc.",2019,Retail,New Jersey,Yes,1000000,3602000,,,
"Stuypend, Inc.",2019,FinTech,New York,Yes,500000,40000,,,
"Millie, PBC",2019,Other,Massachusetts,Yes,250000,70000,,,
FLOAT/THERE,2019,Travel,Pennsylvania,Yes,150000,0,,,
Broker Buddha Inc,2019,Insurance,New York,Yes,1000000,240000,,,
Foxhall Wythe LLC,2019,Healthcare Technologies,New York,Yes,500000,210000,,,
Psychological Technologies,2019,Health & Well-Being,United Kingdom,Yes,2000000,0,,,
"Visionary Access, Inc.",2019,Other,New York,Yes,2000000,100000,,,
The BrainFit Institute,2019,Healthcare Technologies,New York,Yes,0,0,,,
MindHome Inc.,2019,Insurance,Colorado,Yes,1000000,500000,,,
"Cartful Solutions, Inc.",2019,eCommerce,New York,Yes,600000,150000,,,
Tone Inc.,2019,Communication Services,New York,Yes,0,0,,,
"Wellesley Pharmaceuticals, LLC",2019,Healthcare Technologies,Pennsylvania,Yes,14500000,4500000,,,
Picnic Tax Inc,2019,Other,New York,Yes,2000000,0,,,
"Som Friends, Inc.",2019,Food & Drink,California,Yes,4000000,1500000,,,
"YesPlz, Inc",2019,eCommerce,California,Yes,750000,100000,,,
Align17,2019,FinTech,United Kingdom,Yes,2000000,1275000,,,
"Concarlo Holdings, LLC",2019,Healthcare Technologies,New York,Yes,2000000,350000,,,
Otto,2019,Healthcare Technologies,New York,Yes,500000,0,,,
"Stout Heart, Inc.",2019,Healthcare Technologies,California,Yes,5000,10000,,,
Perkin & Perkin LLC,2019,Consumer Services,New York,No,1500000,150000,,,
"CathBuddy, Inc.",2019,Healthcare Technologies,New York,Yes,750000,0,,,
Legacy Navigator,2019,Other,Virginia,Yes,5000000,3000000,,,
Spoonful Inc.,2019,Healthcare Technologies,California,Yes,1000000,250000,,,
"Strategic Capital Allocation Group, LLC",2019,FinTech,Massachusetts,Yes,500000,150000,,,
Mammamia LLC,2019,CBD,California,Yes,500000,250000,,,
Upate,2019,Travel,Argentina,Yes,8000000,0,,,
